日付,カテゴリ,分類,メモ,金額
2021年9月11日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2021年9月12日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2021年9月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2021年9月19日,ATM引き出し,UFJ,セブンギンコウATM,"-50,000 "
2021年9月19日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-4,542 "
2021年9月19日,手数料,UFJ,手数料,-330 
2021年9月20日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2021年9月21日,ガス,UFJ,東京ガス ・1195-614-1052,"-12,495 "
2021年9月23日,食費,UFJ,カムクラ,"-1,130 "
2021年9月24日,給料,UFJ,カブシキガイシヤエスコム,"86,400 "
2021年9月26日,その他,UFJ,タカラクジコウシキサイト,"-3,000 "
2021年9月27日,カード返済,UFJ,ワイジエイカード,"-40,000 "
2021年9月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2021年9月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2021年9月27日,保険,UFJ,ソンポジヤパン,"-3,910 "
2021年9月27日,カード返済,UFJ,ラクテンカードサービス,"1,114 "
2021年9月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2021年9月29日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-340 
2021年9月30日,携帯電話,UFJ,ドコモご利用料金 10ガツブン,"-30,372 "
2021年9月30日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,646 "
2021年9月30日,その他,UFJ,東海メガネ・コンタクト710004,"-3,113 "
2021年10月1日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2021年10月1日,その他,UFJ,スクールショップコヤマ750004,"-5,720 "
2021年10月1日,その他,UFJ,From da Phactor730013,-430 
2021年10月2日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-3,429 "
2021年10月4日,カード返済,UFJ,セゾン,"-10,620 "
2021年10月4日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-75 
2021年10月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"327,538 "
2021年10月6日,ATM引き出し,UFJ,セブンギンコウATM,"-100,000 "
2021年10月6日,ローン,UFJ,ローン,"-68,398 "
2021年10月7日,その他,UFJ,NISATA,"-8,092 "
2021年10月9日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2021年10月9日,電話,UFJ,NTT東日本 ご利用料金 10ガツブン,"-4,397 "
2021年10月10日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,800 "
2021年10月13日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,"-1,285 "
2021年10月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2021年10月15日,医療,UFJ,レンズボックス750005,"-5,500 "
2021年10月16日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-3,654 "
2021年10月17日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-469 
2021年10月18日,水道,UFJ,チバケンスイドウ,"-9,138 "
2021年10月19日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2021年10月21日,ガス,UFJ,東京ガス ・1195-614-1052,"-10,243 "
2021年10月25日,給料,UFJ,カブシキガイシヤエスコム,"86,400 "
2021年10月26日,旅行,UFJ,トウキヨウデイズニーリゾート,"-37,000 "
2021年10月26日,保険,UFJ,ソンポジヤパン,"-3,910 "
2021年10月27日,カード返済,UFJ,ラクテンカードサービス,"-67,916 "
2021年10月27日,カード返済,UFJ,ペイペイカード,"-30,000 "
2021年10月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2021年10月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2021年10月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2021年10月30日,ATM引き出し,UFJ,セブンギンコウATM,"-30,000 "
2021年10月31日,携帯電話,UFJ,ドコモご利用料金 11ガツブン,"-30,020 "
2021年10月31日,食費,UFJ,楽天SP 木更津KiSARA 710001,"-6,050 "
2021年10月31日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,646 "
2021年11月1日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2021年11月2日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-244 
2021年11月3日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-3,857 "
2021年11月4日,カード返済,UFJ,セゾン,"-1,520 "
2021年11月5日,旅行,UFJ,楽天トラベル 国内宿泊 733175,-45 
2021年11月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"313,683 "
2021年11月6日,ATM引き出し,UFJ,セブンギンコウATM,"-100,000 "
2021年11月8日,ローン,UFJ,ローン,"-68,398 "
2021年11月10日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,800 "
2021年11月13日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-3,784 "
2021年11月13日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-1,728 "
2021年11月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2021年11月15日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-311 
2021年11月18日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2021年11月19日,ガス,UFJ,東京ガス ・1195-614-1052,"-11,194 "
2021年11月20日,食費,UFJ,ニクシヨウサカイ オユミノテン,"-11,725 "
2021年11月20日,その他,UFJ,グレイル,"-4,527 "
2021年11月20日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-379 
2021年11月20日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-209 
2021年11月21日,その他,UFJ,ワンズマート楽天市場店750019,"-12,474 "
2021年11月22日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-303 
2021年11月25日,レジャー,UFJ,タカラクジコウシキサイト,"-2,610 "
2021年11月25日,その他,UFJ,AMAZON.CO.JP,"-1,690 "
2021年11月25日,給料,UFJ,カブシキガイシヤエスコム,"86,400 "
2021年11月26日,保険,UFJ,ソンポジヤパン,"-3,910 "
2021年11月27日,車,UFJ,チバニツサンジドウシヤ ニツ,"-45,365 "
2021年11月27日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2021年11月27日,その他,UFJ,グレイル,"-2,172 "
2021年11月28日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-3,226 "
2021年11月29日,カード返済,UFJ,ラクテンカードサービス,"-117,425 "
2021年11月29日,カード返済,UFJ,ペイペイカード,"-30,000 "
2021年11月29日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2021年11月29日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2021年11月29日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2021年11月30日,携帯電話,UFJ,ドコモご利用料金 12ガツブン,"-29,910 "
2021年11月30日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,646 "
2021年12月3日,ATM引き出し,UFJ,セブンギンコウATM,"-100,000 "
2021年12月3日,給料,UFJ,シンワツウシンコウギヨウ(カ,"360,626 "
2021年12月4日,食費,UFJ,ケンタツキーフライドチキン(EC,"-4,000 "
2021年12月4日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-3,484 "
2021年12月5日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-1,728 "
2021年12月6日,ローン,UFJ,ローン,"-68,398 "
2021年12月6日,カード返済,UFJ,セゾン,"-2,070 "
2021年12月7日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2021年12月7日,その他,UFJ,eおもちゃやさん楽天市場店790072,"-2,980 "
2021年12月8日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-329 
2021年12月9日,電話,UFJ,NTT東日本 ご利用料金 12ガツブン,"-4,395 "
2021年12月10日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,800 "
2021年12月11日,医療,UFJ,Shop de clinic楽710008,"-5,400 "
2021年12月12日,その他,UFJ,モアコンタクト 【MORECO750038,"-1,848 "
2021年12月12日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-349 
2021年12月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2021年12月15日,ボーナス,UFJ,シンワツウシンコウギヨウ(カ,"623,848 "
2021年12月16日,水道,UFJ,チバケンスイドウ,"-10,004 "
2021年12月18日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2021年12月19日,振替,UFJ,ヤマザキ ソアラ,"-300,000 "
2021年12月19日,振替,UFJ,ヤマザキ ユウキ,"-50,000 "
2021年12月20日,ガス,UFJ,東京ガス ・1195-614-1052,"-12,527 "
2021年12月21日,振替,UFJ,ヤマザキ ミチコ,"-250,000 "
2021年12月23日,その他,UFJ,アイコンタクト楽天市場店720005,"-3,999 "
2021年12月24日,給料,UFJ,カブシキガイシヤエスコム,"86,400 "
2021年12月25日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2021年12月25日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-4,257 "
2021年12月25日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-1,692 "
2021年12月26日,食費,UFJ,羽田空港ターミナルビル 6010600101925,"-7,560 "
2021年12月27日,カード返済,UFJ,ラクテンカードサービス,"-145,180 "
2021年12月27日,カード返済,UFJ,ペイペイカード,"-30,000 "
2021年12月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2021年12月27日,税金,UFJ,チバシコテイ,"-22,000 "
2021年12月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2021年12月27日,保険,UFJ,ソンポジヤパン,"-3,910 "
2021年12月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2021年12月28日,旅行,UFJ,トウキヨウデイズニーリゾート,"-14,800 "
2021年12月28日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-233 
2021年12月28日,給料,UFJ,シンワツウシンコウギヨウ(カ,"351,089 "
2021年12月29日,その他,UFJ,ギヤツプジヤパン オンライ,"-6,290 "
2021年12月31日,携帯電話,UFJ,ドコモご利用料金 01ガツブン,"-29,844 "
2021年12月31日,振替,UFJ,ペイペイ チャージ,"-13,000 "
2021年12月31日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,646 "
2022年1月4日,カード返済,UFJ,セゾン,"-5,840 "
2022年1月6日,ローン,UFJ,ローン,"-68,398 "
2022年1月7日,ATM引き出し,UFJ,セブンギンコウATM,"-100,000 "
2022年1月8日,その他,UFJ,コジマ,"-20,680 "
2022年1月8日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-4,263 "
2022年1月8日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-1,692 "
2022年1月10日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,800 "
2022年1月15日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2022年1月15日,灯油,UFJ,コスモセキユ,"-1,692 "
2022年1月17日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2022年1月18日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2022年1月20日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-596 
2022年1月22日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-5,040 "
2022年1月23日,灯油,UFJ,コスモセキユ,"-1,746 "
2022年1月24日,ガス,UFJ,トウキョウ ガス ガスリヨウキン 22/01 1195-614-1052,"-16,368 "
2022年1月25日,その他,UFJ,ディノスオンラインショップ,"-13,990 "
2022年1月26日,保険,UFJ,ソンポジヤパン,"-3,910 "
2022年1月26日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-497 
2022年1月26日,給料,UFJ,カブシキガイシヤエスコム,"86,400 "
2022年1月27日,カード返済,UFJ,ラクテンカードサービス,"-96,900 "
2022年1月27日,カード返済,UFJ,ペイペイカード,"-43,000 "
2022年1月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2022年1月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2022年1月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2022年1月29日,旅行,UFJ,トウキヨウデイズニーリゾート,"-14,800 "
2022年1月29日,旅行,UFJ,トウキヨウデイズニーリゾート,"-14,000 "
2022年1月29日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-3,470 "
2022年1月30日,振替,UFJ,ペイペイ チャージ,"-13,000 "
2022年1月30日,その他,UFJ,ユニモ チハラダイ,"-8,300 "
2022年1月30日,食費,UFJ,イオンモールマクハリシントシン,"-2,550 "
2022年1月30日,その他,UFJ,ユニモ チハラダイ,"-2,550 "
2022年1月31日,携帯電話,UFJ,ドコモご利用料金 02ガツブン,"-31,095 "
2022年1月31日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,646 "
2022年2月4日,カード返済,UFJ,セゾン,"-7,770 "
2022年2月4日,給料,UFJ,シンワツウシンコウギヨウ(カ,"288,197 "
2022年2月5日,振替,UFJ,ペイペイ チャージ,"-13,000 "
2022年2月6日,振替,UFJ,イオンギンコウ,"-60,000 "
2022年2月6日,その他,UFJ,ブランドシヨツプハピネス,"-9,493 "
2022年2月6日,手数料,UFJ,手数料,-110 
2022年2月7日,ローン,UFJ,ローン,"-68,398 "
2022年2月8日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-1,782 "
2022年2月9日,電話,UFJ,NTT東日本 ご利用料金 02ガツブン,"-4,396 "
2022年2月10日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,800 "
2022年2月12日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-3,609 "
2022年2月12日,振替,UFJ,ペイペイ チャージ,"-2,000 "
2022年2月12日,振替,UFJ,ペイペイ チャージ,"-2,000 "
2022年2月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2022年2月16日,水道,UFJ,チバケンスイドウ,"-10,004 "
2022年2月17日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2022年2月18日,ガス,UFJ,東京ガス ・1195-614-1052,"-14,368 "
2022年2月20日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-1,818 "
2022年2月21日,利息,UFJ,スーパーフツウ,1 
2022年2月25日,その他,UFJ,SHEIN.COM 利用国SG,"-7,295 "
2022年2月25日,給料,UFJ,カブシキガイシヤエスコム,"86,400 "
2022年2月26日,振替,UFJ,ヤマザキ ミチコ,"250,000 "
2022年2月28日,振替,UFJ,ヤマザキ ソアラ,"-300,000 "
2022年2月28日,振替,UFJ,ヤマザキ ミチコ,"-200,000 "
2022年2月28日,カード返済,UFJ,ラクテンカードサービス,"-158,251 "
2022年2月28日,カード返済,UFJ,ペイペイカード,"-33,000 "
2022年2月28日,携帯電話,UFJ,ドコモご利用料金 03ガツブン,"-29,992 "
2022年2月28日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2022年2月28日,税金,UFJ,チバシコテイ,"-22,000 "
2022年2月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2022年2月28日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2022年2月28日,保険,UFJ,ソンポジヤパン,"-3,910 "
2022年2月28日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,646 "
2022年2月28日,ボーナス,UFJ,シンワツウシンコウギヨウ(カ,"657,118 "
2022年3月1日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2022年3月2日,税金,UFJ,シンコクシヨトク/フツコウゼイ,"-64,285 "
2022年3月4日,カード返済,UFJ,セゾン,"-4,340 "
2022年3月4日,収入,UFJ,コウシキサイトタカラクジトウ,300 
2022年3月4日,給料,UFJ,シンワツウシンコウギヨウ(カ,"389,381 "
2022年3月7日,ローン,UFJ,ローン,"-68,398 "
2022年3月7日,その他,UFJ,ウィバーズショップ,"-5,500 "
2022年3月8日,ATM引き出し,UFJ,セブンギンコウATM,"-50,000 "
2022年3月11日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,800 "
2022年3月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2022年3月19日,ATM引き出し,UFJ,セブンギンコウATM,"-100,000 "
2022年3月20日,その他,UFJ,グレイル,"-4,456 "
2022年3月23日,ガス,UFJ,東京ガス ・1195-614-1052,"-14,935 "
2022年3月23日,収入,UFJ,チバコソダテリンジキユウ,"100,000 "
2022年3月24日,振替,UFJ,ヤマザキ ソアラ,"-100,000 "
2022年3月25日,給料,UFJ,カブシキガイシヤエスコム,"86,400 "
2022年3月28日,カード返済,UFJ,ラクテンカードサービス,"-77,502 "
2022年3月28日,カード返済,UFJ,ペイペイカード,"-27,000 "
2022年3月28日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2022年3月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2022年3月28日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2022年3月28日,保険,UFJ,ソンポジヤパン,"-3,910 "
2022年3月29日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2022年3月31日,携帯電話,UFJ,ドコモご利用料金 04ガツブン,"-29,926 "
2022年3月31日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,646 "
2022年4月2日,旅行,UFJ,トウキヨウデイズニーリゾート,"-15,600 "
2022年4月2日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2022年4月3日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-1,836 "
2022年4月3日,その他,UFJ,ボディピアス・軟骨ピアス RO780013,-796 
2022年4月4日,カード返済,UFJ,セゾン,"-1,790 "
2022年4月5日,ATM引き出し,UFJ,カード,"-100,000 "
2022年4月5日,その他,UFJ,From da Phactor700015,-380 
2022年4月5日,給料,UFJ,シンワツウシンコウギヨウ(カ,"538,735 "
2022年4月6日,ローン,UFJ,ローン,"-68,398 "
2022年4月7日,その他,UFJ,SHEIN.COM 利用国SG,"-8,253 "
2022年4月9日,電話,UFJ,NTT東日本 ご利用料金 04ガツブン,"-4,393 "
2022年4月10日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,800 "
2022年4月13日,医療,UFJ,Shop de clinic楽730021,"-5,400 "
2022年4月15日,ATM引き出し,UFJ,セブンギンコウATM,"-50,000 "
2022年4月15日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2022年4月16日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2022年4月17日,旅行,UFJ,HOTEL*91671483320,"-5,550 "
2022年4月18日,水道,UFJ,チバケンスイドウ,"-8,856 "
2022年4月19日,旅行,UFJ,楽天トラベル 国内宿泊 734147,"-6,000 "
2022年4月20日,ガス,UFJ,東京ガス ・1195-614-1052,"-14,255 "
2022年4月20日,旅行,UFJ,HOTELSCOM91722388,"-5,999 "
2022年4月23日,旅行,UFJ,ウイラー,"-111,860 "
2022年4月23日,旅行,UFJ,ウイラー,"-55,930 "
2022年4月23日,旅行,UFJ,ウイラー,"-27,990 "
2022年4月23日,旅行,UFJ,ウイラー,"-27,990 "
2022年4月24日,旅行,UFJ,シヨウセンミツイフエリーカブシキ,"-63,290 "
2022年4月24日,旅行,UFJ,ウイラー,"-27,990 "
2022年4月24日,旅行,UFJ,楽天トラベル 国内宿泊 743971,"-10,200 "
2022年4月24日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2022年4月24日,振替,UFJ,ヤキニクヤ クイドン ソガテン,"-5,588 "
2022年4月24日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-3,342 "
2022年4月25日,給料,UFJ,カブシキガイシヤエスコム,"86,400 "
2022年4月26日,保険,UFJ,ソンポジヤパン,"-3,910 "
2022年4月27日,カード返済,UFJ,ラクテンカードサービス,"-122,814 "
2022年4月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2022年4月27日,カード返済,UFJ,ペイペイカード,"-20,000 "
2022年4月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2022年4月27日,その他,UFJ,VISA国内利用,"27,990 "
2022年4月28日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2022年4月28日,その他,UFJ,SHEIN.COM 利用国SG,"-4,320 "
2022年4月29日,振替,UFJ,イオンギンコウ,"-80,000 "
2022年4月29日,手数料,UFJ,手数料,-110 
2022年4月30日,携帯電話,UFJ,ドコモご利用料金 05ガツブン,"-29,907 "
2022年4月30日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2022年4月30日,振替,UFJ,ペイペイ チャージ,"-5,000 "
2022年4月30日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,646 "
2022年5月1日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2022年5月2日,税金,UFJ,チバシコテイ,"-22,900 "
2022年5月2日,給料,UFJ,シンワツウシンコウギヨウ(カ,"467,177 "
2022年5月3日,ATM引き出し,UFJ,セブンギンコウATM,"-100,000 "
2022年5月3日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2022年5月4日,その他,UFJ,シスイ プレミアム アウトレツト,"-7,895 "
2022年5月4日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-4,783 "
2022年5月6日,ローン,UFJ,ローン,"-68,398 "
2022年5月6日,その他,UFJ,WWW.ALIEXPRESS.COM 利用国GB,-579 
2022年5月8日,振替,UFJ,ペイペイ チャージ,"-5,000 "
2022年5月8日,その他,UFJ,フアツシヨンセンターシマムラ,"-2,277 "
2022年5月10日,税金,UFJ,チバケンジドウシヤゼイシユ,"-39,500 "
2022年5月10日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,800 "
2022年5月10日,コンビニ,UFJ,ミニストツプ,-750 
2022年5月10日,税金,UFJ,システムリヨウリヨウ チバケンセ,-325 
2022年5月11日,コンビニ,UFJ,ミニストツプ,-615 
2022年5月12日,コンビニ,UFJ,ミニストツプ,-570 
2022年5月14日,その他,UFJ,ニトリネット,"-44,147 "
2022年5月14日,その他,UFJ,ST*ハパキルステイン,"-2,280 "
2022年5月14日,その他,UFJ,ウエルシアヤツキヨク,-559 
2022年5月15日,その他,UFJ,ジエーソン イナゲソンノウテ,"-3,618 "
2022年5月15日,食費,UFJ,ジヨナサン,"-3,592 "
2022年5月15日,レジャー,UFJ,タカラクジコウシキサイト,"-3,000 "
2022年5月15日,食費,UFJ,マクドナルドモバイルオーダ,"-1,380 "
2022年5月16日,保険,UFJ,ケンミンキヨウサイ,"-10,000 "
2022年5月16日,駐車場,UFJ,カイヒンフドウサン(カ)ヨシ,"-8,800 "
2022年5月16日,コンビニ,UFJ,セブンーイレブン,-648 
2022年5月17日,その他,UFJ,家電と住宅設備の【ジュプロ】780010,"-14,236 "
2022年5月17日,その他,UFJ,アマクサかばん720001,"-10,000 "
2022年5月18日,その他,UFJ,SHEIN.COM 利用国SG,"-3,639 "
2022年5月18日,その他,UFJ,ジエーソン シシボネテン,"-1,004 "
2022年5月19日,その他,UFJ,ジエーソン シシボネテン,-760 
2022年5月19日,コンビニ,UFJ,ミニストツプ,-540 
2022年5月20日,その他,UFJ,ジエーソン シシボネテン,"-1,420 "
2022年5月20日,コンビニ,UFJ,フアミリーマート,-480 
2022年5月21日,その他,UFJ,ヤキトリノオウギヤ チバコフ,"-5,653 "
2022年5月21日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-3,397 "
2022年5月21日,食費,UFJ,マクドナルドモバイルオーダ,-850 
2022年5月21日,医療,UFJ,ジヨイフルホンダ チバテン,-69 
2022年5月22日,食費,UFJ,マルガメセイメン ユニモチハラ,"-1,770 "
2022年5月22日,その他,UFJ,コスメドンキユニモチハラダイ,"-1,760 "
2022年5月23日,ガス,UFJ,東京ガス ・1195-614-1052,"-12,893 "
2022年5月25日,食費,UFJ,ヨシノヤ,"-1,257 "
2022年5月25日,給料,UFJ,カブシキガイシヤエスコム,"86,400 "
2022年5月26日,保険,UFJ,ソンポジヤパン,"-3,910 "
2022年5月27日,カード返済,UFJ,ラクテンカードサービス,"-202,509 "
2022年5月27日,カード返済,UFJ,ペイペイカード,"-45,000 "
2022年5月27日,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000 "
2022年5月27日,保険,UFJ,DF.メツトライフホケン,"-6,580 "
2022年5月27日,その他,UFJ,ウエルシアヤツキヨク,"-2,526 "
2022年5月28日,ATM引き出し,UFJ,セブンギンコウATM,"-50,000 "
2022年5月28日,その他,UFJ,ドンキホーテイナゲナガヌマ,"-2,905 "
2022年5月28日,食費,UFJ,センドウホンダテン,"-1,331 "
2022年5月28日,医療,UFJ,ウエルシアヤツキヨク,"-1,080 "
2022年5月29日,食費,UFJ,オーケー チバサイワイチヨウテ,"-4,052 "
2022年5月29日,その他,UFJ,ドンキホーテイナゲナガヌマ,"-3,295 "
2022年5月29日,食費,UFJ,イトーヨーカドー アリオソガ,-979 
2022年5月30日,管理費,UFJ,RKS(カンリヒトウ,"-17,670 "
2022年5月31日,携帯電話,UFJ,ドコモご利用料金 06ガツブン,"-31,359 "
2022年5月31日,インターネット,UFJ,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,646 "
2022年6月1日,食費,UFJ,ココイチバンヤフレスポイナケ,"-2,215 "
2022年6月1日,食費,UFJ,センドウナガヌマテン,"-2,129 "
2022年6月2日,コンビニ,UFJ,ミニストツプ,-429 
2022年6月3日,その他,UFJ,ウエルシアヤツキヨク,"-2,288 "
2022年6月3日,食費,UFJ,ヨシノヤ,"-1,257 "
2022年6月3日,食費,UFJ,スキヤ,-550 
2022年6月3日,給料,UFJ,シンワツウシンコウギヨウ(カ,"308,236 "
2022年6月4日,ガソリン,UFJ,セルフチバジユウロクゴウテン,"-4,036 "
2022年6月4日,食費,UFJ,イトーヨーカドー アリオソガ,"-1,260 "
2022年6月5日,ATM引き出し,UFJ,セブンギンコウATM,"-100,000 "
2022年6月5日,その他,UFJ,イトーヨーカドー ヨツカイド,"-3,588 "
2022年6月5日,その他,UFJ,ウエルシアヤツキヨク,"-3,172 "
2022年6月5日,その他,UFJ,テックランド四街道店 5911051079698,"-2,376 "
2022年6月5日,コンビニ,UFJ,セブンーイレブン,-251 
2022年6月6日,ローン,UFJ,ローン,"-68,398 "
2022年6月6日,コンビニ,UFJ,ミニストツプ,-570 
2022年6月7日,コンビニ,UFJ,ミニストツプ,-429 
2022年6月8日,食費,UFJ,マクドナルドモバイルオーダ,"-2,220 "
2022年6月9日,電話,UFJ,NTT東日本 ご利用料金 06ガツブン,"-4,391 "
2022年6月10日,食費,UFJ,ザ ダンシヤク ラウンジ,"-14,508 "
2022年6月10日,振替,UFJ,ペイペイ チャージ,"-10,000 "
2022年6月10日,駐車場,UFJ,カイヒンフドウサン(カ,"-8,800 "
2022年6月10日,食費,UFJ,ハコダテビヤホール,"-8,030 "
2022年6月10日,旅行,UFJ,ハコダテヤマロープウエイ サ,"-4,500 "
2022年6月10日,コンビニ,UFJ,セブンーイレブン,-249 
2022年6月10日,食費,UFJ,ナナエチヨウシンコウコウシヤ,-180 
2022年6月11日,旅行,UFJ,ホツカイドウシキサイカンジエ,"-11,660 "
2022年6月11日,ガソリン,UFJ,ENEOS-SS,"-7,414 "
2022年6月11日,その他,UFJ,マツヤ ハナワサービスエリアノ,"-2,720 "
2022年6月11日,旅行,UFJ,ゴリヨウカクタワー テンボウ,"-2,700 "
2022年6月11日,食費,UFJ,タリーズコーヒー,"-1,751 "
2022年6月11日,コンビニ,UFJ,フアミリーマート,-750 
2022年6月12日,ガソリン,UFJ,ENEOS-SS,"-6,992 "
2022年6月12日,コンビニ,UFJ,フアミリーマート,-960 
2022年6月13日,コンビニ,UFJ,ミニストツプ,-570 
2022年6月14日,医療,UFJ,Shop de clinic楽750035,"-5,400 "
2022年6月14日,医療,UFJ,パリミキ/メガネの三城楽天市場780004,"-2,216 "
