日付,カテゴリ,分類,メモ,金額,,
2022/11/19,食費,楽天カード,楽天SP アリオ専門店食品アプリ 790083,-486,,
2022/11/20,灯油,楽天カード,コスモセキユ,"-1,692",,
2022/11/20,ガソリン,楽天カード,コスモセキユ,"-4,235",,
2022/11/21,コンビニ,楽天カード,楽天SP ミニストップ アプリ 720664,-591,,
2022/11/21,ガス,楽天カード,東京ガス ・1195-614-1052,"-16,138",,
2022/11/22,その他,楽天カード,ジエーソン シシボネテン,"-1,230",,
2022/11/22,その他,楽天カード,タカラクジコウシキサイト,"-3,000",,
2022/11/23,ATM引き出し,UFJ,セブンギンコウATM,"-20,000",,
2022/11/23,旅行,楽天カード,ペイペイ*カガワイップクヤ,"-1,790",,
2022/11/23,その他,楽天カード,メガドンキホーテヤチヨジユ,-833,,
2022/11/23,その他,楽天カード,楽天SP エービーシー・マート アプリ 730058,"-4,389",,
2022/11/24,食費,楽天カード,楽天SP からやまアプリ 733145,-649,,
2022/11/25,給料,UFJ,カブシキガイシヤエスコム,"86,400",,
2022/11/25,食費,楽天カード,ペイペイ*ビッグエーコシカ,-190,,
2022/11/25,コンビニ,楽天カード,楽天SP ミニストップ アプリ 750620,-591,,
2022/11/25,食費,楽天カード,楽天SP 吉野家 アプリ 710417,-964,,
2022/11/26,その他,楽天カード,クイーンアイズ楽天市場店750083,"-2,598",,
2022/11/27,食費,楽天カード,ペイペイ*ヤマデンマル,"-2,360",,
2022/11/27,食費,楽天カード,マクドナルド モバイルオーダー 710094,"-1,150",,
2022/11/27,食費,楽天カード,楽天SP ベルク アプリ 750510,"-3,735",,
2022/11/28,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2022/11/28,管理費,UFJ,RKS(カンリヒトウ,"-25,009",,
2022/11/28,保険,UFJ,ソンポジヤパン,"-4,210",,
2022/11/28,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000",,
2022/11/28,カード返済,UFJ,ラクテンカードサービス,"-243,907",,
2022/11/28,コンビニ,楽天カード,楽天SP ミニストップ アプリ 710553,-599,,
2022/11/30,その他,楽天カード,AMAZON.CO.JP,-612,,
2022/11/30,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,646",,
2022/11/30,その他,楽天カード,WWW.ALIEXPRESS.COM 利用国GB,-248,,
2022/11/30,その他,楽天カード,WWW.ALIEXPRESS.COM 利用国GB,-565,,
2022/11/30,携帯電話,楽天カード,ドコモご利用料金 12ガツブン,"-32,346",,
2022/11/30,コンビニ,楽天カード,楽天SP ミニストップ アプリ 750527,-591,,
2022/12/2,医療,楽天カード,Shop de clinic楽720039,"-5,400",,
2022/12/2,その他,楽天カード,WWW.ALIEXPRESS.COM 利用国GB,-654,,
2022/12/2,コンビニ,楽天カード,楽天SP ミニストップ アプリ 730619,-429,,
2022/12/3,高速,セゾンカード,ETC首都高速(市川本線→有明),-680,,
2022/12/3,高速,セゾンカード,ETC首都高速(有明→東関東道接),-680,,
2022/12/3,高速,セゾンカード,ETC東日本(湾岸市川→穴川西),-650,,
2022/12/3,高速,セゾンカード,ETC東日本(湾岸習志野→湾岸市川),-420,,
2022/12/3,食費,楽天カード,シヨツケンケンバイキ ジエイ,-900,,
2022/12/3,食費,楽天カード,シヨツケンケンバイキ ジエイ,"-1,700",,
2022/12/3,コンビニ,楽天カード,楽天SP ローソンアプリ 799892,-392,,
2022/12/4,食費,楽天カード,カツヤ,"-2,278",,
2022/12/4,ガソリン,楽天カード,コスモセキユ,"-3,037",,
2022/12/4,食費,楽天カード,マクドナルドモバイルオーダー,"-1,520",,
2022/12/4,車,楽天カード,楽天SP オートウェーブアプリ 731210,-495,,
2022/12/4,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 701065,-735,,
2022/12/5,ATM引き出し,UFJ,イオンギンコウ,"-50,000",,
2022/12/5,給料,UFJ,シンワツウシンコウギヨウ(カ,"412,829",,
2022/12/5,その他,楽天カード,WWW.ALIEXPRESS.COM 利用国GB,-612,,
2022/12/5,コンビニ,楽天カード,楽天SP ミニストップ アプリ 750577,-429,,
2022/12/6,ローン,UFJ,ローン,"-68,398",,
2022/12/6,車,楽天カード,sk auto trading740004,-398,,
2022/12/6,保険,楽天カード,トウキヨウカイジヨウニチドウカ,"-11,180",,
2022/12/6,食費,楽天カード,ペイペイ*オリンピック,-430,,
2022/12/6,食費,楽天カード,ペイペイ*ビッグエーカツシ,-380,,
2022/12/7,コンビニ,楽天カード,楽天SP ミニストップ アプリ 750547,-483,,
2022/12/8,コンビニ,楽天カード,楽天SP ミニストップ アプリ 790606,-429,,
2022/12/9,電話,楽天カード,NTT東日本 ご利用料金 12ガツブン,"-4,382",,
2022/12/9,コンビニ,楽天カード,楽天SP ミニストップ アプリ 730607,-429,,
2022/12/10,駐車場,UFJ,カイヒンフドウサン(カ,"-8,800",,
2022/12/10,高速,セゾンカード,ETC特別割引(穴川中→君津),"-1,020",,
2022/12/10,その他,楽天カード,グレイル,"-4,464",,
2022/12/10,旅行,楽天カード,ハチミツコウボウ,"-1,680",,
2022/12/10,旅行,楽天カード,ペイペイ*コハンテイ,-400,,
2022/12/10,旅行,楽天カード,ペイペイ*コハンテイ,"-1,800",,
2022/12/10,食費,楽天カード,ペイペイ*ハイデイヒダカ,"-3,590",,
2022/12/10,食費,楽天カード,マクドナルドモバイルオーダー,"-2,010",,
2022/12/10,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 731327,-160,,
2022/12/10,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 745041,-321,,
2022/12/11,食費,楽天カード,セイセンイチバトツプイナゲナ,"-8,213",,
2022/12/11,食費,楽天カード,楽天SP スターバックスコーヒーアプリ 780424,"-1,041",,
2022/12/11,食費,楽天カード,楽天SP むさしの森珈琲 アプリ 700018,"-2,816",,
2022/12/12,その他,楽天カード,楽天SP DAISOアプリ 701811,-220,,
2022/12/12,食費,楽天カード,楽天SP からやまアプリ 725827,-649,,
2022/12/13,コンビニ,楽天カード,楽天SP ミニストップ アプリ 790491,-540,,
2022/12/14,コンビニ,楽天カード,楽天SP ローソンアプリ 735403,-493,,
2022/12/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2022/12/15,給料,UFJ,シンワツウシンコウギヨウ(カ,"479,580",,
2022/12/15,高速,セゾンカード,ETC東日本(茂原北→茂原長南),-310,,
2022/12/15,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 709637,-475,,
2022/12/16,ボーナス,UFJ,シンワツウシンコウギヨウ(カ,"245,707",,
2022/12/16,水道,UFJ,チバケンスイドウ,"-8,084",,
2022/12/16,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 781309,-410,,
2022/12/16,食費,楽天カード,楽天SP 吉野家 アプリ 740400,-350,,
2022/12/17,灯油,楽天カード,コスモセキユ,"-1,692",,
2022/12/18,ATM引き出し,UFJ,セブンギンコウATM,"-50,000",,
2022/12/18,車,楽天カード,チバニツサンジドウシヤ ニツ,"-11,000",,
2022/12/18,食費,楽天カード,ナリタヤコブケチヨウヨツカイド,"-1,546",,
2022/12/18,食費,楽天カード,楽天SP はま寿司 アプリ 700383,"-3,399",,
2022/12/19,その他,楽天カード,ジエーソン シシボネテン,-611,,
2022/12/20,その他,楽天カード,ユニモ チハラダイ/NFC,"-3,850",,
2022/12/20,食費,楽天カード,楽天SP すき家 アプリ 730325,-390,,
2022/12/20,ガス,楽天カード,東京ガス ・1195-614-1052,"-17,113",,
2022/12/22,車,楽天カード,バッテリーのことならTHE B780003,"-24,790",,
2022/12/22,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 788565,-345,,
2022/12/23,食費,楽天カード,ジエーソン カスカベテン,-716,,
2022/12/23,食費,楽天カード,楽天SP すき家 アプリ 790258,-390,,
2022/12/24,高速,セゾンカード,ETC特別割引(穴川中→君津),"-1,020",,
2022/12/24,車,楽天カード,チバニツサンジドウシヤ ニツ,"-27,000",,
2022/12/24,食費,楽天カード,マクドナルドモバイルオーダー,"-1,260",,
2022/12/24,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 738759,-941,,
2022/12/25,給料,UFJ,カブシキガイシヤエスコム,"86,400",,
2022/12/25,高速,セゾンカード,ETC深夜割引(君津→穴川東),"-1,020",,
2022/12/26,保険,UFJ,ソンポジヤパン,"-4,210",,
2022/12/26,税金,UFJ,チバシコテイ,"-22,000",,
2022/12/26,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 729508,-518,,
2022/12/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2022/12/27,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000",,
2022/12/27,振替,UFJ,ヤマザキ ミチコ,"-400,000",,
2022/12/27,カード返済,UFJ,ラクテンカードサービス,"-221,442",,
2022/12/27,コンビニ,楽天カード,楽天SP ミニストップ アプリ 730554,-464,,
2022/12/28,管理費,UFJ,RKS(カンリヒトウ,"-20,170",,
2022/12/28,給料,UFJ,シンワツウシンコウギヨウ(カ,"365,266",,
2022/12/29,ガソリン,楽天カード,コスモセキユ,"-5,763",,
2022/12/29,その他,楽天カード,ジエーソン イナゲソンノウテ,"-1,935",,
2022/12/29,食費,楽天カード,ペイペイ*ニキノカシ,-556,,
2022/12/29,食費,楽天カード,マクドナルドモバイルオーダー,"-1,520",,
2022/12/29,その他,楽天カード,楽天SP アリオ専門店アプリ 710075,"-3,400",,
2022/12/29,その他,楽天カード,楽天SP アリオ専門店アプリ 780080,"-2,580",,
2022/12/29,食費,楽天カード,楽天SP チムニー アプリ 720009,"-6,859",,
2022/12/29,食費,楽天カード,楽天SP ミスタードーナツアプリ 704412,"-1,414",,
2022/12/29,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 701691,-684,,
2022/12/31,ATM引き出し,UFJ,セブンギンコウATM,"-100,000",,
2022/12/31,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,646",,
2022/12/31,灯油,楽天カード,コスモセキユ,"-1,692",,
2022/12/31,携帯電話,楽天カード,ドコモご利用料金 01ガツブン,"-31,599",,
2022/12/31,食費,楽天カード,マクドナルドモバイルオーダー,"-1,010",,
2022/12/31,その他,楽天カード,楽天SP ジョイフル本田 アプリ 700028,"-1,939",,
2023/1/2,食費,楽天カード,クイドン,"-23,518",,
2023/1/2,その他,楽天カード,ドンキホーテイナゲナガヌマ,"-5,996",,
2023/1/3,食費,楽天カード,楽天SP アークランドサービスアプリ 772831,"-1,447",,
2023/1/4,カード返済,UFJ,セゾン,"-1,200",,
2023/1/4,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 701275,"-4,152",,
2023/1/4,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 791304,-767,,
2023/1/5,高速,セゾンカード,ETC東日本(松ヶ丘北→東金第一),-430,,
2023/1/5,その他,楽天カード,WWW.ALIEXPRESS.COM 利用国GB,-569,,
2023/1/6,ローン,UFJ,ローン,"-68,398",,
2023/1/6,その他,楽天カード,ジエーソン シシボネテン,"-1,359",,
2023/1/6,その他,楽天カード,タカラクジコウシキサイト,"-3,100",,
2023/1/6,食費,楽天カード,ペイペイ*ビッグエー,-285,,
2023/1/6,コンビニ,楽天カード,楽天SP ミニストップ アプリ 740552,-591,,
2023/1/7,その他,楽天カード,イオンモール,"-1,960",,
2023/1/7,その他,楽天カード,イオンモール,"-5,406",,
2023/1/7,その他,楽天カード,ディノス 通信販売 3100900052424 86718,"-19,970",,
2023/1/7,その他,楽天カード,ペイペイ*ダイソー,-110,,
2023/1/7,食費,楽天カード,マクドナルドモバイルオーダー,-180,,
2023/1/7,その他,楽天カード,楽天SP Francfranc アプリ 750010,"-3,070",,
2023/1/7,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 701348,-890,,
2023/1/7,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 711386,"-3,000",,
2023/1/8,ガソリン,楽天カード,コスモセキユ,"-3,569",,
2023/1/8,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 781051,-140,,
2023/1/9,灯油,楽天カード,コスモセキユ,"-1,692",,
2023/1/9,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 721211,-140,,
2023/1/10,駐車場,UFJ,カイヒンフドウサン(カ,"-8,800",,
2023/1/10,保険,楽天カード,トウキヨウカイジヨウニチドウカ,"-11,180",,
2023/1/10,コンビニ,楽天カード,楽天SP ミニストップ アプリ 750519,-429,,
2023/1/11,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 719980,-464,,
2023/1/12,コンビニ,楽天カード,楽天SP ファミリーマートアプリ 721116,-340,,
2023/1/14,高速,セゾンカード,ETC首都高速(アク湾西接→横横金支接),"-1,120",,
2023/1/14,高速,セゾンカード,ETC東日本(釜利谷→佐原本線),-740,,
2023/1/14,高速,セゾンカード,ETC特別割引(袖ケ浦第一→木更津第一),-110,,
2023/1/14,高速,セゾンカード,ETC特別割引(木更津第一→木更津第一),-800,,
2023/1/14,その他,楽天カード,タイムズマボリカイガンエキマ,-110,,
2023/1/14,食費,楽天カード,マクドナルドモバイルオーダー,"-2,170",,
2023/1/14,旅行,楽天カード,ヨコスカオンセン ユラノサト,"-6,530",,
2023/1/14,その他,楽天カード,楽天SP ジョイフル本田 アプリ 790006,"-2,601",,
2023/1/14,食費,楽天カード,楽天SP スターバックスコーヒーアプリ 790378,-972,,
2023/1/14,その他,楽天カード,楽天SP マツモトキヨシグループアプリ 750681,"-1,144",,
2023/1/14,食費,楽天カード,楽天SP 西友 793006,-528,,
2023/1/15,高速,セゾンカード,ETC首都高速(新山下第一→東関東道接),"-1,730",,
2023/1/15,高速,セゾンカード,ETC東日本(湾岸市川→穴川西),-650,,
2023/1/15,食費,楽天カード,イトーヨーカドー アリオソガ,-110,,
2023/1/15,ガソリン,楽天カード,セルフチバジユウロクゴウテン,"-4,951",,
2023/1/15,コンビニ,楽天カード,ダイコクパーキングエリア,"-3,550",,
2023/1/15,駐車場,楽天カード,ヤマテパーキング,-300,,
2023/1/15,食費,楽天カード,楽天SP はま寿司 アプリ 730179,"-2,255",,
2023/1/15,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 710917,"-1,304",,
2023/1/15,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 751229,-309,,
2023/1/16,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2023/1/16,コンビニ,楽天カード,楽天SP ミニストップ アプリ 730489,-483,,
2023/1/17,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 732022,-954,,
2023/1/17,食費,楽天カード,楽天SP 丸亀製麺アプリ 725711,-530,,
2023/1/18,食費,楽天カード,ペイペイ*ビッグエー,-285,,
2023/1/18,コンビニ,楽天カード,楽天SP ミニストップ アプリ 780485,-591,,
2023/1/19,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 781332,-327,,
2023/1/20,利息,みずほ ゆーき,利息,1,,
2023/1/21,食費,楽天カード,楽天SP 吉野家 アプリ 750530,"-1,451",,
2023/1/22,灯油,楽天カード,コスモセキユ,"-1,728",,
2023/1/22,食費,楽天カード,マクドナルドモバイルオーダー,-990,,
2023/1/22,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 720550,-602,,
2023/1/22,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 740326,-95,,
2023/1/23,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 738420,-626,,
2023/1/23,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 758377,"-1,093",,
2023/1/23,ガス,楽天カード,東京ガス ・1195-614-1052,"-21,107",,
2023/1/24,コンビニ,楽天カード,楽天SP ファミリーマートアプリ 714971,-973,,
2023/1/25,給料,UFJ,カブシキガイシヤエスコム,"86,400",,
2023/1/25,コンビニ,楽天カード,楽天SP ミニストップ アプリ 780497,-537,,
2023/1/26,保険,UFJ,ソンポジヤパン,"-4,210",,
2023/1/26,その他,楽天カード,honey(ハニー)750004,"-4,100",,
2023/1/26,その他,楽天カード,Overseas Import700001,"-2,100",,
2023/1/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2023/1/27,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000",,
2023/1/27,カード返済,UFJ,ラクテンカードサービス,"-201,395",,
2023/1/27,旅行,楽天カード,HOTEL ON BOOKING.COM 利用国NL,"-6,734",,
2023/1/27,旅行,楽天カード,HOTEL ON BOOKING.COM 利用国NL,"-19,431",,
2023/1/27,食費,楽天カード,楽天SP 吉野家 アプリ 730442,"-1,656",,
2023/1/28,食費,楽天カード,ペイペイ*ドクターキー,"-7,700",,
2023/1/28,車,楽天カード,楽天SP オートウェーブアプリ 764044,"-7,250",,
2023/1/28,コンビニ,楽天カード,楽天SP ファミリーマートアプリ 750844,-110,,
2023/1/29,灯油,楽天カード,セルフチバジユウロクゴウテン,"-1,764",,
2023/1/29,その他,楽天カード,楽天SP DAISOアプリ 720853,-110,,
2023/1/29,食費,楽天カード,楽天SP アークランドサービスアプリ 714038,"-1,924",,
2023/1/29,その他,楽天カード,楽天SP ジョイフル本田 アプリ 720017,"-3,833",,
2023/1/29,食費,楽天カード,楽天SP スターバックスコーヒーアプリ 730224,"-1,743",,
2023/1/29,コンビニ,楽天カード,楽天SP ファミリーマートアプリ 780845,-110,,
2023/1/30,管理費,UFJ,RKS(カンリヒトウ,"-20,170",,
2023/1/30,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 727944,-464,,
2023/1/30,食費,楽天カード,楽天SP 西友 740485,-200,,
2023/1/31,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,646",,
2023/1/31,その他,楽天カード,WWW.ALIEXPRESS.COM 利用国GB,"-1,423",,
2023/1/31,携帯電話,楽天カード,ドコモご利用料金 02ガツブン,"-31,274",,
2023/1/31,コンビニ,楽天カード,楽天SP ファミリーマートアプリ 757788,-525,,
2023/2/1,車,楽天カード,Acvエーシーブイ780012,"-2,400",,
2023/2/1,レジャー,楽天カード,タカラクジコウシキサイト,"-3,000",,
2023/2/1,コンビニ,楽天カード,楽天SP ファミリーマートアプリ 728219,-455,,
2023/2/3,給料,UFJ,シンワツウシンコウギヨウ(カ,"371,026",,
2023/2/3,コンビニ,楽天カード,楽天SP ミニストップ アプリ 740592,-388,,
2023/2/3,食費,楽天カード,楽天SP 吉野家 アプリ 700411,"-1,049",,
2023/2/4,ATM引き出し,UFJ,セブンギンコウATM,"-80,000",,
2023/2/4,その他,楽天カード,オオサカオウショウアナガワインタ,"-2,340",,
2023/2/4,ガソリン,楽天カード,コスモセキユ,"-3,494",,
2023/2/4,その他,楽天カード,メガドンキホーテヤチヨジユ,"-4,955",,
2023/2/4,コンビニ,楽天カード,楽天SP ファミリーマートアプリ 782988,-110,,
2023/2/4,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 781582,-342,,
2023/2/5,コンビニ,楽天カード,楽天SP ファミリーマートアプリ 730697,-110,,
2023/2/6,カード返済,UFJ,セゾン,"-5,800",,
2023/2/6,ローン,UFJ,ローン,"-68,398",,
2023/2/6,保険,楽天カード,トウキヨウカイジヨウニチドウカ,"-10,260",,
2023/2/6,コンビニ,楽天カード,楽天SP ミニストップ アプリ 730596,-537,,
2023/2/7,食費,楽天カード,楽天SP 松屋フーズ アプリ 780320,-750,,
2023/2/8,コンビニ,楽天カード,楽天SP ミニストップ アプリ 700584,-537,,
2023/2/9,電話,楽天カード,NTT東日本 ご利用料金 02ガツブン,"-4,382",,
2023/2/9,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 758640,-550,,
2023/2/10,駐車場,UFJ,カイヒンフドウサン(カ,"-8,800",,
2023/2/10,食費,楽天カード,楽天SP 松屋フーズ アプリ 700267,-690,,
2023/2/11,その他,楽天カード,BB-KONOHISH 利用国HK,"-7,090",,
2023/2/11,その他,楽天カード,SHEIN.COM 利用国SG,"-6,007",,
2023/2/12,その他,楽天カード,WWW.ALIEXPRESS.COM 利用国GB,-356,,
2023/2/14,コンビニ,楽天カード,楽天SP ミニストップ アプリ 740544,-537,,
2023/2/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2023/2/15,高速,セゾンカード,ETC東日本(貝塚→湾岸市川),-670,,
2023/2/15,高速,セゾンカード,ETC東日本(船橋(千葉→船橋本線下),-100,,
2023/2/15,その他,楽天カード,イオンシネママクハリシントシン,"-5,300",,
2023/2/15,その他,楽天カード,チバケンエイスイト,"-8,659",,
2023/2/15,食費,楽天カード,楽天SP すき家 アプリ 700562,-500,,
2023/2/15,コンビニ,楽天カード,楽天SP ミニストップ アプリ 710502,-591,,
2023/2/16,高速,セゾンカード,ETC東日本(千葉西→蘇我),-410,,
2023/2/16,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 755634,-302,,
2023/2/17,車,楽天カード,タイヤショップZERO楽天市場720037,"-43,960",,
2023/2/17,コンビニ,楽天カード,楽天SP ミニストップ アプリ 730645,-591,,
2023/2/17,ガス,楽天カード,東京ガス ・1195-614-1052,"-16,712",,
2023/2/18,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 710545,"-3,136",,
2023/2/19,その他,楽天カード,WWW.ALIEXPRESS.COM 利用国GB,"-1,028",,
2023/2/19,食費,楽天カード,イオンリテールシヨクヒンマツクス,"-2,850",,
2023/2/19,灯油,楽天カード,コスモセキユ,"-1,728",,
2023/2/19,ガソリン,楽天カード,コスモセキユ,"-3,326",,
2023/2/20,利息,UFJ,スーパーフツウ,1,,
2023/2/20,食費,楽天カード,楽天SP 吉野家 アプリ 790400,"-1,064",,
2023/2/21,食費,楽天カード,楽天SP くら寿司 アプリ 790176,"-2,600",,
2023/2/23,ガソリン,楽天カード,イデミツコウサンエスエス,"-2,200",,
2023/2/23,食費,楽天カード,楽天SP ガストアプリ 700200,"-2,386",,
2023/2/23,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 740971,-753,,
2023/2/23,コンビニ,楽天カード,楽天SP 楽天ペイアプリセブンーイレブン 722191,-265,,
2023/2/24,コンビニ,楽天カード,楽天SP ミニストップ アプリ 790603,-591,,
2023/2/25,給料,UFJ,カブシキガイシヤエスコム,"86,400",,
2023/2/25,食費,楽天カード,サイゼリヤ/NFC,"-4,150",,
2023/2/25,食費,楽天カード,ドンキホーテイナゲナガヌマ,"-1,207",,
2023/2/25,食費,楽天カード,ペイペイ*ベルクス,-914,,
2023/2/25,その他,楽天カード,ペイペイ*ミスターマックス,"-1,261",,
2023/2/25,その他,楽天カード,楽天SP マツモトキヨシグループアプリ 790711,"-1,209",,
2023/2/27,保険,UFJ,DF.メツトライフホケン,"-6,580",,
2023/2/27,保険,UFJ,ソンポジヤパン,"-4,210",,
2023/2/27,ローン,UFJ,ニツサンフイナンシヤルS,"-26,000",,
2023/2/27,食費,楽天カード,楽天SP 吉野家 アプリ 710428,"-1,504",,
2023/2/28,管理費,UFJ,RKS(カンリヒトウ,"-20,170",,
2023/2/28,ATM引き出し,UFJ,カードC1,"-30,000",,
2023/2/28,ボーナス,UFJ,シンワツウシンコウギヨウ(カ,"628,530",,
2023/2/28,税金,UFJ,チバシコテイ,"-22,000",,
2023/2/28,カード返済,UFJ,ラクテンカードサービス,"-260,798",,
2023/2/28,インターネット,楽天カード,U-NEXT 光01利用料 ユーネクストヒカリゼロワンリヨウ,"-3,646",,
2023/2/28,その他,楽天カード,キャンディーマジック 楽天市場740128,"-2,238",,
2023/2/28,携帯電話,楽天カード,ドコモご利用料金 03ガツブン,"-29,970",,
2023/3/1,その他,楽天カード,ジエーソン シシボネテン,-356,,
2023/3/1,コンビニ,楽天カード,楽天SP ローソンアプリ 705463,-600,,
2023/3/2,食費,楽天カード,楽天SP 西友 750755,-321,,
2023/3/3,給料,UFJ,シンワツウシンコウギヨウ(カ,"338,114",,
2023/3/3,旅行,楽天カード,JTBJBIアタミシーズンホテル,"-38,445",,
2023/3/3,その他,楽天カード,K7Craft740003,"-1,293",,
2023/3/3,食費,楽天カード,マイバスケツト,-211,,
2023/3/3,食費,楽天カード,楽天SP はま寿司 アプリ 700301,"-3,619",,
2023/3/4,振替,UFJ,イオンギンコウ,"-50,000",,
2023/3/4,手数料,UFJ,手数料,-110,,
2023/3/4,食費,楽天カード,イオンリテール,-657,,
2023/3/4,食費,楽天カード,イオンリテールシヨクヒンマツクス,"-2,945",,
2023/3/4,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 700632,"-1,010",,
2023/3/4,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 740600,"-2,839",,
2023/3/5,ガソリン,楽天カード,コスモセキユ,"-3,768",,
2023/3/6,収入,UFJ,コウシキサイトタカラクジトウ,400,,
2023/3/6,カード返済,UFJ,セゾン,"-5,580",,
2023/3/6,ローン,UFJ,ローン,"-68,398",,
2023/3/6,保険,楽天カード,トウキヨウカイジヨウニチドウカ,"-10,950",,
2023/3/6,コンビニ,楽天カード,楽天SP ミニストップ アプリ 790575,-537,,
2023/3/7,食費,楽天カード,ペイペイ*ビッグエーカツシ,-190,,
2023/3/7,コンビニ,楽天カード,楽天SP ミニストップ アプリ 740586,-591,,
2023/3/8,その他,楽天カード,ガストアナガワインターテン,"-2,930",,
2023/3/10,駐車場,UFJ,カイヒンフドウサン(カ,"-8,800",,
2023/3/10,高速,セゾンカード,ETC東日本(市原→富浦),"-1,620",,
2023/3/10,その他,楽天カード,ジエーソン シシボネテン,-641,,
2023/3/10,食費,楽天カード,楽天SP アークランドサービスアプリ 792015,"-1,371",,
2023/3/10,コンビニ,楽天カード,楽天SP ミニストップ アプリ 780641,-483,,
2023/3/11,振替,UFJ,イオンギンコウ,"-50,000",,
2023/3/11,手数料,UFJ,手数料,-110,,
2023/3/11,食費,楽天カード,センドウホンダテン,"-7,165",,
2023/3/11,食費,楽天カード,ビツクリドンキー チバソカ,"-8,860",,
2023/3/11,その他,楽天カード,楽天SP アリオ専門店アプリ 710112,"-2,203",,
2023/3/12,灯油,楽天カード,コスモセキユ,"-1,679",,
2023/3/12,食費,楽天カード,セイセンイチバトツプイナゲナ,"-3,254",,
2023/3/12,食費,楽天カード,楽天SP スターバックスコーヒーアプリ 790767,"-1,551",,
2023/3/13,高速,セゾンカード,ETC首都高速(市川本線→大井南),-750,,
2023/3/13,高速,セゾンカード,ETC東日本(松ヶ丘北→湾岸市川),-780,,
2023/3/13,コンビニ,楽天カード,楽天SP ミニストップ アプリ 730487,-399,,
2023/3/14,その他,楽天カード,カー用品と雑貨のゼンポー730014,"-4,679",,
2023/3/15,保険,UFJ,ケンミンキヨウサイ,"-10,000",,
2023/3/15,高速,セゾンカード,ETC首都高速(横新狩場接→新山下上),-400,,
2023/3/15,高速,セゾンカード,ETC中日本(長泉沼津→横浜町田),"-2,000",,
2023/3/15,車,楽天カード,レコジヤパン,"-4,962",,
2023/3/15,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 711266,"-1,371",,
2023/3/16,高速,セゾンカード,ETC東日本(蘇我南→木更津南),"-1,020",,
2023/3/16,食費,楽天カード,ペイペイ*ビッグエー,-285,,
2023/3/16,食費,楽天カード,楽天SP すき家 アプリ 720615,-580,,
2023/3/16,コンビニ,楽天カード,楽天SP ミニストップ アプリ 700553,-516,,
2023/3/17,その他,楽天カード,ジエーソン シシボネテン,"-1,152",,
2023/3/17,コンビニ,楽天カード,楽天SP ローソンアプリ 746322,-395,,
2023/3/17,その他,楽天カード,楽天SP 楽天ペイ・ウエルシアグループ 721040,-835,,
